ingredient,vegetarian,vegan,dairy_free,gluten_free
superfine sugar,yes,yes,yes,yes
lemon rind,yes,yes,yes,yes
spinach leaves,yes,yes,yes,yes
prepared horseradish,yes,yes,yes,yes
egg substitute,yes,yes,yes,yes
baby carrots,yes,yes,yes,yes
pork loin,no,no,yes,yes
lower sodium chicken broth,no,no,yes,yes
red food coloring,yes,yes,yes,yes
2% reduced-fat milk,yes,no,no,yes
white miso,yes,yes,yes,yes
refrigerated piecrusts,yes,yes,yes,no
cilantro stems,yes,yes,yes,yes
beef rib short,no,no,yes,yes
poppy seeds,yes,yes,yes,yes
corn flour,yes,yes,yes,yes
cachaca,yes,yes,yes,yes
fat free yogurt,yes,no,no,yes
chunky salsa,yes,yes,yes,yes
lemon slices,yes,yes,yes,yes
sirloin steak,no,no,yes,yes
salad dressing,yes,yes,yes,yes
masala,yes,yes,yes,yes
fresh curry leaves,yes,yes,yes,yes
white hominy,yes,yes,yes,yes
tomato ketchup,yes,yes,yes,yes
coffee,yes,yes,yes,yes
rice paper,yes,yes,yes,yes
coarse sea salt,yes,yes,yes,yes
soba noodles,yes,yes,yes,yes
chorizo,no,no,yes,yes
Mexican cheese,yes,no,no,yes
red beans,yes,yes,yes,yes
hot pepper,yes,yes,yes,yes
curry,yes,yes,yes,yes
urad dal,yes,yes,yes,yes
portabello mushroom,yes,yes,yes,yes
parsnips,yes,yes,yes,yes
pork butt,no,no,yes,yes
chuck,no,no,yes,yes
anchovy paste,no,no,yes,yes
grating cheese,yes,no,no,yes
curds,yes,no,no,yes
phyllo dough,yes,yes,yes,no
chipotle peppers,yes,yes,yes,yes
bacon drippings,no,no,yes,yes
celery seed,yes,yes,yes,yes
rotisserie chicken,no,no,yes,yes
plums,yes,yes,yes,yes
italian salad dressing,yes,yes,yes,yes
konbu,yes,yes,yes,yes
chuck roast,no,no,yes,yes
halibut fillets,no,no,yes,yes
creole mustard,yes,yes,yes,yes
beef tenderloin,no,no,yes,yes
ground sirloin,no,no,yes,yes
rigatoni,yes,yes,yes,no
chicken livers,no,no,yes,yes
herbes de provence,yes,yes,yes,yes
red enchilada sauce,yes,yes,yes,yes
pistachios,yes,yes,yes,yes
dry roasted peanuts,yes,yes,yes,yes
steak,no,no,yes,yes
coarse kosher salt,yes,yes,yes,yes
crimini mushrooms,yes,yes,yes,yes
mixed greens,yes,yes,yes,yes
preserved lemon,yes,yes,yes,yes
taco shells,yes,yes,yes,yes
dried sage,yes,yes,yes,yes
corn syrup,yes,yes,yes,yes
taco sauce,yes,yes,yes,yes
dressing,yes,yes,yes,yes
shiitake mushroom caps,yes,yes,yes,yes
jumbo shrimp,no,no,yes,yes
short-grain rice,yes,yes,yes,yes
littleneck clams,no,no,yes,yes
low-fat sour cream,yes,no,no,yes
mashed potatoes,yes,yes,yes,yes
lamb,no,no,yes,yes
asparagus spears,yes,yes,yes,yes
smoked ham hocks,no,no,yes,yes
anise,yes,yes,yes,yes
condensed cream of chicken soup,no,no,no,yes
boneless pork loin,no,no,yes,yes
fresh marjoram,yes,yes,yes,yes
turkey,no,no,yes,yes
sweet pepper,yes,yes,yes,yes
tahini,yes,yes,yes,yes
poultry seasoning,yes,yes,yes,yes
cooking wine,yes,yes,yes,yes
prunes,yes,yes,yes,yes
pumpkin,yes,yes,yes,yes
skinless chicken breasts,no,no,yes,yes
instant espresso powder,yes,yes,yes,yes
sweet corn,yes,yes,yes,yes
grated Gruyère cheese,yes,no,no,yes
roasting chickens,no,no,yes,yes
parmigiano-reggiano cheese,yes,no,no,yes
salad,yes,yes,yes,yes
scallion greens,yes,yes,yes,yes
orange liqueur,yes,yes,yes,yes
beef brisket,no,no,yes,yes
light mayonnaise,yes,no,yes,yes
rotini,yes,yes,yes,no
manchego cheese,yes,no,no,yes
bird chile,yes,yes,yes,yes
pie crust,no,no,yes,yes
seasoned rice wine vinegar,yes,yes,yes,yes
grated jack cheese,yes,no,no,yes
ramen noodles,yes,yes,yes,no
liquid,yes,yes,yes,yes
white mushrooms,yes,yes,yes,yes
semolina,yes,yes,yes,no
parsley leaves,yes,yes,yes,yes
oysters,no,no,yes,yes
cocoa powder,yes,yes,yes,yes
escarole,yes,yes,yes,yes
fish stock,no,no,yes,yes
potato starch,yes,yes,yes,yes
semolina flour,yes,yes,yes,no
rib,no,no,yes,yes
sausage links,no,no,yes,yes
fenugreek leaves,yes,yes,yes,yes
dipping sauces,yes,yes,yes,yes
chinese cabbage,yes,yes,yes,yes
dates,yes,yes,yes,yes
spring roll wrappers,yes,yes,yes,yes
navel oranges,yes,yes,yes,yes
beaten eggs,yes,no,yes,yes
radicchio,yes,yes,yes,yes
chopped green chilies,yes,yes,yes,yes
unsalted dry roast peanuts,yes,yes,yes,yes
mango chutney,yes,yes,yes,yes
lower sodium soy sauce,yes,yes,yes,no
pepper flakes,yes,yes,yes,yes
fresh leav spinach,yes,yes,yes,yes
seaweed,yes,yes,yes,yes
roasted tomatoes,yes,yes,yes,yes
egg roll wrappers,yes,yes,yes,no
brown mustard seeds,yes,yes,yes,yes
fresh oregano leaves,yes,yes,yes,yes
wine,yes,yes,yes,yes
fresh pineapple,yes,yes,yes,yes
shrimp paste,no,no,yes,yes
salad oil,yes,yes,yes,yes
picante sauce,yes,yes,yes,yes
thick-cut bacon,no,no,yes,yes
savoy cabbage,yes,yes,yes,yes
smoked salmon,no,no,yes,yes
chicken meat,no,no,yes,yes
pecorino cheese,yes,no,no,yes
salmon,no,no,yes,yes
firmly packed light brown sugar,yes,yes,yes,yes
light sour cream,yes,no,no,yes
cheese tortellini,yes,no,no,no
teriyaki sauce,yes,yes,yes,no
biscuits,no,no,yes,no
condensed cream of mushroom soup,yes,no,no,no
swiss cheese,yes,no,no,yes
sage,yes,yes,yes,yes
salami,no,no,yes,yes
Italian turkey sausage,no,no,yes,yes
guajillo chiles,yes,yes,yes,yes
tea bags,yes,yes,yes,yes
hamburger buns,yes,yes,yes,no
anise seed,yes,yes,yes,yes
haricots verts,yes,yes,yes,yes
boneless chicken thighs,no,no,yes,yes
pork loin chops,no,no,yes,yes
chips,yes,yes,yes,yes
fusilli,yes,yes,yes,yes
japanese eggplants,yes,yes,yes,yes
whole milk ricotta cheese,yes,no,no,yes
reduced fat sharp cheddar cheese,yes,no,no,yes
chutney,yes,yes,yes,yes
pepperoni,no,no,yes,yes
fresh herbs,yes,yes,yes,yes
mustard powder,yes,yes,yes,yes
celery salt,yes,yes,yes,yes
deveined shrimp,no,no,yes,yes
anchovies,no,no,yes,yes
sambal ulek,yes,yes,yes,yes
pork chops,no,no,yes,yes
kasuri methi,yes,yes,yes,yes
yellow peppers,yes,yes,yes,yes
apple juice,yes,yes,yes,yes
bottled clam juice,no,no,yes,yes
malt vinegar,yes,yes,yes,no
puff pastry,yes,yes,yes,no
nonfat yogurt,yes,no,no,yes
dried cranberries,yes,yes,yes,yes
edamame,yes,yes,yes,yes
rubbed sage,yes,yes,yes,yes
lime slices,yes,yes,yes,yes
spanish chorizo,no,no,yes,yes
extra sharp cheddar cheese,yes,no,no,yes
shredded parmesan cheese,yes,no,no,yes
mustard greens,yes,yes,yes,yes
clarified butter,yes,no,no,yes
artichok heart marin,yes,yes,yes,yes
chickpea flour,yes,yes,yes,yes
Anaheim chile,yes,yes,yes,yes
gari,yes,yes,yes,yes
thai green curry paste,yes,yes,yes,yes
wild mushrooms,yes,yes,yes,yes
fruit,yes,yes,yes,yes
steamed rice,yes,yes,yes,yes
California bay leaves,yes,yes,yes,yes
lobster,no,no,yes,yes
seedless cucumber,yes,yes,yes,yes
nonstick spray,yes,yes,yes,yes
turbinado,yes,yes,yes,yes
ground almonds,yes,yes,yes,yes
bread slices,yes,no,yes,no
sourdough bread,yes,yes,yes,no
chicken bouillon granules,no,no,yes,yes
granulated garlic,yes,yes,yes,yes
capsicum,yes,yes,yes,yes
plain low-fat yogurt,yes,no,no,yes
crushed ice,yes,yes,yes,yes
great northern beans,yes,yes,yes,yes
ground round,no,no,yes,yes
colby jack cheese,yes,no,no,yes
tapioca flour,yes,yes,yes,yes
